date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:24:14	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-643fc52b-d8f9b943e47ceaf;gz%22	https://www.tpcollege.org/robots.txt		(from )
18:24:15	51302/51302	---MCZ	200	added ('OK')	text/html	date:Sun,%2002%20Jun%202024%2012:54:14%20GMT	https://www.tpcollege.org/	V:MY%20PROJECT/TPC%20MADHEPURA/www.tpcollege.org/index.html	(from )
18:24:15	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-643fc52b-d8f9b943e47ceaf;gz%22	https://www.tpcollege.org/T.P.College%20Madhepura/	V:MY%20PROJECT/TPC%20MADHEPURA/www.tpcollege.org/T.P.College%20Madhepura/index.html	(from https://www.tpcollege.org/)
18:24:16	111607/111607	---M-Z	200	added ('OK')	application/x-javascript	etag:%221b3f7-64686f55-deb33c1529cf5869;gz%22	https://www.tpcollege.org/scripts/jquery-1.9.1.min.js	V:MY%20PROJECT/TPC%20MADHEPURA/www.tpcollege.org/scripts/jquery-1.9.1.min.js	(from https://www.tpcollege.org/)
18:24:16	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-643fc52b-d8f9b943e47ceaf;gz%22	https://www.tpcollege.org/scripts/docs.min.js	V:MY%20PROJECT/TPC%20MADHEPURA/www.tpcollege.org/scripts/docs.min.1.delayed	(from https://www.tpcollege.org/)
18:24:17	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-643fc52b-d8f9b943e47ceaf;gz%22	https://www.tpcollege.org/scripts/ie10-viewport-bug-workaround.js	V:MY%20PROJECT/TPC%20MADHEPURA/www.tpcollege.org/scripts/ie10-viewport-bug-workaround.js	(from https://www.tpcollege.org/)
18:24:17	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-643fc52b-d8f9b943e47ceaf;gz%22	https://www.tpcollege.org/bootstrap/css/bootstrap-theme.min.css	V:MY%20PROJECT/TPC%20MADHEPURA/www.tpcollege.org/bootstrap/css/bootstrap-theme.min.css	(from https://www.tpcollege.org/)
18:24:17	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-643fc52b-d8f9b943e47ceaf;gz%22	https://www.tpcollege.org/bootstrap/css/bootstrap.min.css	V:MY%20PROJECT/TPC%20MADHEPURA/www.tpcollege.org/bootstrap/css/bootstrap.min.css	(from https://www.tpcollege.org/)
18:24:17	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-643fc52b-d8f9b943e47ceaf;gz%22	https://www.tpcollege.org/bootstrap/js/bootstrap.min.js	V:MY%20PROJECT/TPC%20MADHEPURA/www.tpcollege.org/bootstrap/js/bootstrap.min.js	(from https://www.tpcollege.org/)
18:24:18	42194/42194	---M-Z	200	added ('OK')	application/x-javascript	etag:%22a4d2-64686f55-af09babafa028c99;gz%22	https://www.tpcollege.org/scripts/jssor.slider.mini.js	V:MY%20PROJECT/TPC%20MADHEPURA/www.tpcollege.org/scripts/jssor.slider.mini.js	(from https://www.tpcollege.org/)
18:24:18	856/856	---M-Z	200	added ('OK')	text/css	etag:%22358-64686f55-1a869deb589e8789;gz%22	https://www.tpcollege.org/styles/news-style.css	V:MY%20PROJECT/TPC%20MADHEPURA/www.tpcollege.org/styles/news-style.css	(from https://www.tpcollege.org/)
18:24:18	46922/46922	---M--	200	added ('OK')	image/jpeg	date:Sun,%2002%20Jun%202024%2012:54:18%20GMT	https://www.tpcollege.org/images/home-bg.jpg	V:MY%20PROJECT/TPC%20MADHEPURA/www.tpcollege.org/images/home-bg.jpg	(from https://www.tpcollege.org/)
18:24:18	1976/1976	---M-Z	200	added ('OK')	text/css	etag:%227b8-64686f55-fb0ed289cd1485b2;gz%22	https://www.tpcollege.org/styles/styles.css	V:MY%20PROJECT/TPC%20MADHEPURA/www.tpcollege.org/styles/styles.css	(from https://www.tpcollege.org/)
